team,round,plus_minus,total_picks,avg_plus_minus_per_pick,team_color
St. Louis,4,271,14,19.36,#002F87
St. Louis,5,449,9,49.89,#002F87
St. Louis,6,1112,14,79.43,#002F87
St. Louis,7,1025,10,102.5,#002F87
Tampa Bay,1,-208,11,-18.91,#002868
Tampa Bay,2,-236,14,-16.86,#002868
Tampa Bay,3,71,13,5.46,#002868
Tampa Bay,4,404,12,33.67,#002868
Tampa Bay,5,316,6,52.67,#002868
Tampa Bay,6,1150,13,88.46,#002868
Tampa Bay,7,1885,17,110.88,#002868
Toronto,1,-234,11,-21.27,#003E7E
Toronto,2,-308,11,-28.0,#003E7E
Toronto,3,-83,11,-7.55,#003E7E
Toronto,4,244,11,22.18,#003E7E
Toronto,5,727,15,48.47,#003E7E
Toronto,6,1227,15,81.8,#003E7E
Toronto,7,1571,13,120.85,#003E7E
Vancouver,1,-419,14,-29.93,#00205B
Vancouver,2,-192,7,-27.43,#00205B
Vancouver,3,-17,7,-2.43,#00205B
Vancouver,4,84,7,12.0,#00205B
Vancouver,5,806,14,57.57,#00205B
Vancouver,6,1000,13,76.92,#00205B
Vancouver,7,1348,13,103.69,#00205B
Vegas,1,-32,3,-10.67,#B4975A
Vegas,2,11,2,5.5,#B4975A
Vegas,3,4,1,4.0,#B4975A
Vegas,5,83,2,41.5,#B4975A
Vegas,6,65,1,65.0,#B4975A
Vegas,7,121,1,121.0,#B4975A
Washington,1,-231,13,-17.77,#CF0A2C
Washington,2,-195,10,-19.5,#CF0A2C
Washington,3,147,6,24.5,#CF0A2C
Washington,4,184,10,18.4,#CF0A2C
Washington,5,716,13,55.08,#CF0A2C
Washington,6,1289,14,92.07,#CF0A2C
Washington,7,1286,12,107.17,#CF0A2C
Winnipeg,1,-246,15,-16.4,#004C97
Winnipeg,2,-295,9,-32.78,#004C97
Winnipeg,3,-82,13,-6.31,#004C97
Winnipeg,4,292,13,22.46,#004C97
Winnipeg,5,335,9,37.22,#004C97
Winnipeg,6,784,10,78.4,#004C97
Winnipeg,7,1872,17,110.12,#004C97
